ID;MONTO_FRAUDE;FECHA_INICIAL;FECHA_DETECCION;N_OPERACIONES;TIPO_PRODUCTO ;FLAG_CLIENTE_EMPRESA;N_FRAUDES_ANTERIORES
61;118796;09-01-2023;13-01-2023;1;TARJETA_CREDITO;0;0
62;87023;09-01-2023;10-01-2023;2;TARJETA_CREDITO;0;0
63;114766;09-01-2023;13-01-2023;2;TARJETA_DEBITO;0;0
64;518463;09-01-2023;13-01-2023;8;TARJETA_CREDITO;1;6
65;142961;10-01-2023;15-01-2023;1;TARJETA_CREDITO;0;0
66;191211;10-01-2023;16-01-2023;2;TARJETA_DEBITO;0;0
67;49719;10-01-2023;13-01-2023;1;TARJETA_CREDITO;0;0
68;26493;10-01-2023;11-01-2023;1;TARJETA_CREDITO;0;0
69;175945;10-01-2023;12-01-2023;5;TARJETA_CREDITO;0;0
70;19035;10-01-2023;14-01-2023;1;TARJETA_CREDITO;0;0
71;98735;10-01-2023;16-01-2023;3;TARJETA_CREDITO;0;0
72;22996;10-01-2023;12-01-2023;5;TARJETA_CREDITO;0;0
73;2156976;10-01-2023;11-01-2023;88;TARJETA_CREDITO;1;7
74;38865;11-01-2023;13-01-2023;1;TARJETA_CREDITO;0;0
75;52463;11-01-2023;12-01-2023;2;TARJETA_CREDITO;0;0
76;74750;11-01-2023;16-01-2023;5;TARJETA_CREDITO;0;0
77;45897;11-01-2023;14-01-2023;2;TARJETA_CREDITO;0;0
78;849094;11-01-2023;17-01-2023;4;TARJETA_CREDITO;0;7
79;926120;11-01-2023;16-01-2023;10;TARJETA_CREDITO;0;2
80;659383;11-01-2023;16-01-2023;1;TARJETA_CREDITO;0;9
81;165508;12-01-2023;17-01-2023;2;TARJETA_CREDITO;0;0
82;42669;12-01-2023;17-01-2023;3;TARJETA_CREDITO;0;0
83;171327;12-01-2023;15-01-2023;1;TARJETA_CREDITO;0;0
84;766341;12-01-2023;15-01-2023;2;TARJETA_CREDITO;0;5
85;300804;12-01-2023;14-01-2023;2;TARJETA_CREDITO;0;10
86;695699;12-01-2023;13-01-2023;1;TARJETA_CREDITO;0;4
87;265488;12-01-2023;14-01-2023;1;TARJETA_CREDITO;0;1
88;311439;12-01-2023;16-01-2023;8;TARJETA_CREDITO;0;0
89;353795;12-01-2023;17-01-2023;2;TARJETA_CREDITO;1;7
90;192246;12-01-2023;15-01-2023;3;TARJETA_CREDITO;1;0
91;104631;13-01-2023;15-01-2023;2;TARJETA_CREDITO;0;0
92;84915;13-01-2023;15-01-2023;3;TARJETA_CREDITO;0;0
93;28757;13-01-2023;17-01-2023;4;TARJETA_CREDITO;0;0
94;116092;13-01-2023;17-01-2023;1;TARJETA_DEBITO;0;0
95;73761;13-01-2023;14-01-2023;4;TARJETA_CREDITO;0;0
96;27832;13-01-2023;15-01-2023;1;TARJETA_DEBITO;0;0
97;15914;14-01-2023;20-01-2023;2;TARJETA_CREDITO;0;0
98;132765;14-01-2023;15-01-2023;2;TARJETA_CREDITO;0;0
99;96124;14-01-2023;18-01-2023;5;TARJETA_DEBITO;0;0
100;136749;14-01-2023;15-01-2023;2;TARJETA_CREDITO;0;0
101;230693;14-01-2023;20-01-2023;10;TARJETA_CREDITO;0;2
102;1265379;14-01-2023;16-01-2023;9;TARJETA_DEBITO;1;7
103;4357256;14-01-2023;18-01-2023;92;TARJETA_CREDITO;1;6
104;1201170;14-01-2023;18-01-2023;87;TARJETA_CREDITO;1;8
105;101593;15-01-2023;16-01-2023;2;TARJETA_CREDITO;0;0
106;29989;15-01-2023;21-01-2023;2;TARJETA_CREDITO;0;0
107;38117;15-01-2023;16-01-2023;3;TARJETA_CREDITO;0;0
108;65993;15-01-2023;20-01-2023;1;TARJETA_CREDITO;0;0
109;73971;15-01-2023;17-01-2023;5;TARJETA_CREDITO;0;0
110;139544;15-01-2023;16-01-2023;3;TARJETA_CREDITO;0;0
111;97954;15-01-2023;19-01-2023;4;TARJETA_CREDITO;0;6
112;187125;15-01-2023;16-01-2023;7;TARJETA_CREDITO;0;6
113;49917;15-01-2023;21-01-2023;4;TARJETA_CREDITO;0;10
114;953888;15-01-2023;18-01-2023;6;TARJETA_CREDITO;0;9
115;112329;15-01-2023;20-01-2023;2;TARJETA_CREDITO;0;1
116;8905139;15-01-2023;16-01-2023;24;TARJETA_CREDITO;1;0
117;85586;16-01-2023;17-01-2023;2;TARJETA_CREDITO;0;0
118;149795;16-01-2023;17-01-2023;5;TARJETA_CREDITO;0;0
119;15634;16-01-2023;19-01-2023;4;TARJETA_CREDITO;0;0
120;175520;16-01-2023;21-01-2023;2;TARJETA_CREDITO;0;0
121;13235;16-01-2023;18-01-2023;5;TARJETA_CREDITO;0;0
122;132217;16-01-2023;21-01-2023;2;TARJETA_CREDITO;0;0
123;142287;16-01-2023;22-01-2023;4;TARJETA_CREDITO;0;0
124;602394;16-01-2023;19-01-2023;5;TARJETA_CREDITO;0;9
125;807981;16-01-2023;20-01-2023;8;TARJETA_CREDITO;0;7
126;228384;16-01-2023;19-01-2023;7;TARJETA_CREDITO;1;5
127;1888402;16-01-2023;20-01-2023;65;TARJETA_CREDITO;1;7
128;172971;17-01-2023;18-01-2023;4;TARJETA_CREDITO;0;0
129;30777;17-01-2023;20-01-2023;2;TARJETA_CREDITO;0;0
130;91691;17-01-2023;23-01-2023;4;TARJETA_CREDITO;0;0
131;178476;17-01-2023;18-01-2023;2;TARJETA_CREDITO;0;0
132;335132;17-01-2023;20-01-2023;10;TARJETA_CREDITO;0;4
133;329912;17-01-2023;23-01-2023;3;TARJETA_CREDITO;0;4
134;812873;17-01-2023;22-01-2023;4;TARJETA_CREDITO;1;8
135;91540;18-01-2023;24-01-2023;2;TARJETA_CREDITO;0;0
136;157449;18-01-2023;22-01-2023;1;TARJETA_DEBITO;0;0
137;164417;18-01-2023;21-01-2023;1;TARJETA_CREDITO;0;0
138;125803;18-01-2023;23-01-2023;2;TARJETA_CREDITO;0;0
139;95622;18-01-2023;21-01-2023;5;TARJETA_DEBITO;0;0
140;145214;18-01-2023;20-01-2023;4;TARJETA_CREDITO;0;0
141;26902;18-01-2023;20-01-2023;2;TARJETA_CREDITO;0;0
142;36890;18-01-2023;20-01-2023;3;TARJETA_CREDITO;0;0
143;17128;18-01-2023;20-01-2023;3;TARJETA_CREDITO;0;0
144;593015;18-01-2023;24-01-2023;4;TARJETA_CREDITO;0;5
145;8298783;18-01-2023;21-01-2023;60;TARJETA_CREDITO;1;1
146;168606;19-01-2023;21-01-2023;1;TARJETA_CREDITO;0;0
147;46743;19-01-2023;24-01-2023;1;TARJETA_DEBITO;0;0
148;168045;19-01-2023;24-01-2023;1;TARJETA_CREDITO;0;0
149;10636;19-01-2023;24-01-2023;3;TARJETA_CREDITO;0;0
150;126298;19-01-2023;22-01-2023;1;TARJETA_CREDITO;0;0
151;41364;19-01-2023;25-01-2023;4;TARJETA_CREDITO;0;0
152;133216;19-01-2023;21-01-2023;1;TARJETA_CREDITO;0;0
153;12809;19-01-2023;20-01-2023;3;TARJETA_CREDITO;0;0
154;131287;19-01-2023;20-01-2023;8;TARJETA_CREDITO;1;0
155;241177;19-01-2023;21-01-2023;4;TARJETA_CREDITO;1;7
156;185755;20-01-2023;26-01-2023;2;TARJETA_CREDITO;0;0
157;161481;20-01-2023;26-01-2023;3;TARJETA_CREDITO;0;0
158;110034;20-01-2023;26-01-2023;3;TARJETA_CREDITO;0;0
159;39407;20-01-2023;24-01-2023;2;TARJETA_CREDITO;0;0
160;193520;20-01-2023;23-01-2023;4;TARJETA_CREDITO;0;0
161;55264;20-01-2023;25-01-2023;4;TARJETA_CREDITO;0;0
162;122178;20-01-2023;23-01-2023;5;TARJETA_CREDITO;0;0
163;16313;20-01-2023;24-01-2023;5;TARJETA_CREDITO;0;0
164;151265;20-01-2023;21-01-2023;2;TARJETA_CREDITO;0;0
165;166923;20-01-2023;24-01-2023;5;TARJETA_DEBITO;0;9
166;137501;20-01-2023;23-01-2023;4;TARJETA_CREDITO;0;9
167;403111;20-01-2023;24-01-2023;8;TARJETA_CREDITO;0;2
168;9128215;20-01-2023;21-01-2023;79;TARJETA_CREDITO;1;4
169;4791392;20-01-2023;22-01-2023;27;TARJETA_CREDITO;1;2
170;150220;21-01-2023;24-01-2023;3;TARJETA_DEBITO;0;0
171;90848;21-01-2023;23-01-2023;5;TARJETA_CREDITO;0;0
172;130217;21-01-2023;27-01-2023;4;TARJETA_CREDITO;0;0
173;61847;21-01-2023;23-01-2023;2;TARJETA_CREDITO;0;0
174;41813;21-01-2023;24-01-2023;2;TARJETA_CREDITO;0;0
175;478113;21-01-2023;24-01-2023;5;TARJETA_CREDITO;0;4
176;376469;21-01-2023;23-01-2023;2;TARJETA_CREDITO;0;1
177;545669;21-01-2023;24-01-2023;8;TARJETA_CREDITO;0;7
178;654518;21-01-2023;23-01-2023;2;TARJETA_CREDITO;0;2
179;129858;22-01-2023;26-01-2023;1;TARJETA_CREDITO;0;0
180;89661;22-01-2023;27-01-2023;1;TARJETA_CREDITO;0;0
181;113463;22-01-2023;25-01-2023;5;TARJETA_DEBITO;0;0
182;352893;22-01-2023;28-01-2023;2;TARJETA_CREDITO;0;6
183;828349;22-01-2023;28-01-2023;3;TARJETA_DEBITO;1;6
184;170471;23-01-2023;26-01-2023;4;TARJETA_CREDITO;0;0
185;47609;23-01-2023;26-01-2023;3;TARJETA_CREDITO;0;0
186;100858;23-01-2023;28-01-2023;2;TARJETA_CREDITO;0;0
187;162950;23-01-2023;28-01-2023;2;TARJETA_CREDITO;0;0
188;66818;23-01-2023;27-01-2023;2;TARJETA_CREDITO;0;0
189;100434;23-01-2023;24-01-2023;4;TARJETA_CREDITO;0;0
190;67464;23-01-2023;27-01-2023;5;TARJETA_CREDITO;0;0
191;69270;23-01-2023;27-01-2023;10;TARJETA_CREDITO;0;7
192;466036;23-01-2023;28-01-2023;9;TARJETA_CREDITO;0;4
193;514085;23-01-2023;25-01-2023;3;TARJETA_CREDITO;0;1
194;5020840;23-01-2023;28-01-2023;84;TARJETA_CREDITO;1;3
195;4082250;23-01-2023;24-01-2023;55;TARJETA_CREDITO;1;8
196;143956;24-01-2023;27-01-2023;4;TARJETA_CREDITO;0;0
197;148779;24-01-2023;25-01-2023;4;TARJETA_CREDITO;0;0
198;148441;24-01-2023;30-01-2023;2;TARJETA_CREDITO;0;0
199;39608;24-01-2023;29-01-2023;1;TARJETA_CREDITO;0;0
200;53067;24-01-2023;29-01-2023;5;TARJETA_CREDITO;0;0
201;566684;24-01-2023;27-01-2023;5;TARJETA_DEBITO;0;2
202;520129;24-01-2023;30-01-2023;3;TARJETA_CREDITO;0;5
203;124127;25-01-2023;31-01-2023;3;TARJETA_CREDITO;0;0
204;47465;25-01-2023;29-01-2023;4;TARJETA_CREDITO;0;0
205;183013;25-01-2023;27-01-2023;3;TARJETA_DEBITO;0;0
206;61757;25-01-2023;31-01-2023;3;TARJETA_CREDITO;0;0
207;87951;25-01-2023;26-01-2023;1;TARJETA_CREDITO;0;0
208;169413;25-01-2023;28-01-2023;2;TARJETA_CREDITO;0;0
209;140281;25-01-2023;31-01-2023;4;TARJETA_DEBITO;0;0
210;672377;25-01-2023;31-01-2023;7;TARJETA_CREDITO;0;0
211;439591;25-01-2023;26-01-2023;5;TARJETA_CREDITO;1;3
212;5369410;25-01-2023;29-01-2023;44;TARJETA_CREDITO;1;4
213;104225;26-01-2023;29-01-2023;1;TARJETA_CREDITO;0;0
214;167722;26-01-2023;27-01-2023;3;TARJETA_CREDITO;0;0
215;80361;26-01-2023;27-01-2023;4;TARJETA_CREDITO;0;0
216;76332;26-01-2023;30-01-2023;1;TARJETA_CREDITO;0;0
217;197863;26-01-2023;30-01-2023;3;TARJETA_CREDITO;0;0
218;198452;27-01-2023;30-01-2023;3;TARJETA_CREDITO;0;0
219;85521;27-01-2023;31-01-2023;3;TARJETA_DEBITO;0;0
220;46356;27-01-2023;28-01-2023;2;TARJETA_CREDITO;0;0
221;191837;27-01-2023;02-02-2023;2;TARJETA_CREDITO;0;0
222;27202;27-01-2023;29-01-2023;3;TARJETA_CREDITO;0;0
223;156582;27-01-2023;31-01-2023;3;TARJETA_DEBITO;0;0
224;124500;27-01-2023;01-02-2023;3;TARJETA_CREDITO;0;0
225;125117;27-01-2023;30-01-2023;5;TARJETA_CREDITO;0;0
226;81487;27-01-2023;30-01-2023;2;TARJETA_CREDITO;0;0
227;178382;27-01-2023;30-01-2023;3;TARJETA_CREDITO;0;5
228;15165;28-01-2023;29-01-2023;5;TARJETA_CREDITO;0;0
229;193752;28-01-2023;31-01-2023;5;TARJETA_CREDITO;0;0
230;21701;28-01-2023;03-02-2023;1;TARJETA_CREDITO;0;0
231;196261;28-01-2023;31-01-2023;3;TARJETA_CREDITO;0;0
232;480214;28-01-2023;29-01-2023;7;TARJETA_CREDITO;0;8
233;534023;28-01-2023;30-01-2023;6;TARJETA_CREDITO;1;5
234;105914;29-01-2023;04-02-2023;3;TARJETA_CREDITO;0;0
235;145268;29-01-2023;31-01-2023;2;TARJETA_CREDITO;0;0
236;69319;29-01-2023;31-01-2023;3;TARJETA_CREDITO;0;0
237;72329;29-01-2023;04-02-2023;5;TARJETA_CREDITO;0;0
238;51999;29-01-2023;01-02-2023;5;TARJETA_CREDITO;0;0
239;117783;29-01-2023;02-02-2023;1;TARJETA_CREDITO;0;0
240;143525;29-01-2023;30-01-2023;4;TARJETA_CREDITO;0;0
241;600416;29-01-2023;30-01-2023;8;TARJETA_CREDITO;0;0
242;841029;29-01-2023;03-02-2023;10;TARJETA_CREDITO;0;0
243;194029;30-01-2023;03-02-2023;5;TARJETA_DEBITO;0;0
244;70481;30-01-2023;31-01-2023;2;TARJETA_CREDITO;0;0
245;88202;30-01-2023;01-02-2023;4;TARJETA_CREDITO;0;0
246;24630;30-01-2023;02-02-2023;1;TARJETA_CREDITO;0;0
247;190457;30-01-2023;04-02-2023;1;TARJETA_CREDITO;0;0
248;179877;30-01-2023;05-02-2023;5;TARJETA_CREDITO;0;0
249;137306;30-01-2023;04-02-2023;1;TARJETA_CREDITO;0;0
250;25117;30-01-2023;05-02-2023;2;TARJETA_DEBITO;0;0
251;934881;30-01-2023;31-01-2023;4;TARJETA_CREDITO;0;10
252;893050;30-01-2023;01-02-2023;7;TARJETA_CREDITO;0;2
253;222425;30-01-2023;03-02-2023;5;TARJETA_CREDITO;1;5
254;580148;30-01-2023;02-02-2023;9;TARJETA_CREDITO;1;8
255;36451;31-01-2023;01-02-2023;1;TARJETA_CREDITO;0;0
256;111343;31-01-2023;06-02-2023;5;TARJETA_CREDITO;0;0
257;104582;31-01-2023;05-02-2023;4;TARJETA_CREDITO;0;0
258;30917;31-01-2023;02-02-2023;3;TARJETA_CREDITO;0;0
259;622322;31-01-2023;04-02-2023;6;TARJETA_CREDITO;0;8
260;147994;31-01-2023;03-02-2023;9;TARJETA_CREDITO;0;0
261;197022;01-02-2023;02-02-2023;5;TARJETA_CREDITO;0;0
262;47691;01-02-2023;04-02-2023;1;TARJETA_CREDITO;0;0
263;30301;01-02-2023;05-02-2023;2;TARJETA_DEBITO;0;0
264;148744;01-02-2023;06-02-2023;1;TARJETA_CREDITO;0;0
265;166034;01-02-2023;03-02-2023;5;TARJETA_CREDITO;1;4
266;6009810;01-02-2023;04-02-2023;10;TARJETA_CREDITO;1;0
267;104241;02-02-2023;05-02-2023;4;TARJETA_CREDITO;0;0
268;103997;02-02-2023;05-02-2023;1;TARJETA_DEBITO;0;0
269;86751;02-02-2023;05-02-2023;5;TARJETA_CREDITO;0;0
270;17130;02-02-2023;06-02-2023;1;TARJETA_CREDITO;0;0
271;188492;03-02-2023;05-02-2023;5;TARJETA_CREDITO;0;0
272;179404;03-02-2023;07-02-2023;4;TARJETA_CREDITO;0;0
273;64274;03-02-2023;04-02-2023;2;TARJETA_CREDITO;0;0
274;176383;03-02-2023;09-02-2023;3;TARJETA_CREDITO;0;0
275;98331;03-02-2023;08-02-2023;3;TARJETA_CREDITO;0;0
276;68318;03-02-2023;06-02-2023;5;TARJETA_CREDITO;0;0
277;25763;03-02-2023;08-02-2023;2;TARJETA_CREDITO;0;0
278;79607;03-02-2023;06-02-2023;4;TARJETA_CREDITO;0;0
279;129570;03-02-2023;05-02-2023;5;TARJETA_DEBITO;0;0
280;118219;03-02-2023;04-02-2023;5;TARJETA_CREDITO;0;0
281;2709854;03-02-2023;05-02-2023;75;TARJETA_CREDITO;1;2
282;38453;04-02-2023;08-02-2023;4;TARJETA_CREDITO;0;0
283;38202;04-02-2023;06-02-2023;4;TARJETA_CREDITO;0;0
284;127876;04-02-2023;07-02-2023;3;TARJETA_DEBITO;0;0
285;87842;04-02-2023;08-02-2023;3;TARJETA_CREDITO;0;0
286;177574;04-02-2023;07-02-2023;1;TARJETA_CREDITO;0;0
287;654511;04-02-2023;10-02-2023;10;TARJETA_DEBITO;0;7
288;585138;04-02-2023;05-02-2023;8;TARJETA_CREDITO;0;9
289;652573;04-02-2023;08-02-2023;10;TARJETA_CREDITO;0;6
290;594448;04-02-2023;10-02-2023;9;TARJETA_CREDITO;1;6
291;8498688;04-02-2023;10-02-2023;90;TARJETA_CREDITO;1;5
292;73101;05-02-2023;11-02-2023;3;TARJETA_CREDITO;0;0
293;189201;05-02-2023;09-02-2023;4;TARJETA_CREDITO;0;0
294;116234;05-02-2023;08-02-2023;2;TARJETA_CREDITO;0;0
295;100633;05-02-2023;07-02-2023;1;TARJETA_CREDITO;0;0
296;133644;05-02-2023;09-02-2023;1;TARJETA_DEBITO;0;0
297;164945;05-02-2023;06-02-2023;1;TARJETA_DEBITO;0;0
298;693129;05-02-2023;07-02-2023;4;TARJETA_CREDITO;0;7
299;3756967;05-02-2023;06-02-2023;2;TARJETA_CREDITO;1;0
300;35618;06-02-2023;07-02-2023;1;TARJETA_CREDITO;0;0
301;58116;06-02-2023;11-02-2023;3;TARJETA_DEBITO;0;0
302;123751;06-02-2023;08-02-2023;3;TARJETA_CREDITO;0;0
303;144995;06-02-2023;09-02-2023;5;TARJETA_CREDITO;0;8
304;673529;06-02-2023;08-02-2023;4;TARJETA_CREDITO;0;4
305;251572;06-02-2023;08-02-2023;6;TARJETA_CREDITO;0;5
306;240057;06-02-2023;07-02-2023;3;TARJETA_DEBITO;0;10
307;825660;06-02-2023;12-02-2023;6;TARJETA_DEBITO;1;10
308;5093733;06-02-2023;09-02-2023;58;TARJETA_DEBITO;1;6
309;117229;07-02-2023;11-02-2023;1;TARJETA_CREDITO;0;0
310;102937;07-02-2023;10-02-2023;3;TARJETA_DEBITO;0;0
311;77808;07-02-2023;09-02-2023;2;TARJETA_CREDITO;0;0
312;198288;07-02-2023;10-02-2023;2;TARJETA_CREDITO;0;0
313;14340;07-02-2023;08-02-2023;1;TARJETA_CREDITO;0;0
314;80820;07-02-2023;12-02-2023;4;TARJETA_CREDITO;0;0
315;195538;07-02-2023;12-02-2023;4;TARJETA_CREDITO;0;0
316;915143;07-02-2023;08-02-2023;8;TARJETA_CREDITO;0;3
317;756411;07-02-2023;12-02-2023;3;TARJETA_DEBITO;0;3
318;614867;07-02-2023;11-02-2023;8;TARJETA_CREDITO;0;9
319;587465;07-02-2023;10-02-2023;2;TARJETA_CREDITO;1;9
320;376041;07-02-2023;10-02-2023;10;TARJETA_CREDITO;1;7
321;167569;08-02-2023;14-02-2023;4;TARJETA_CREDITO;0;0
322;88785;08-02-2023;10-02-2023;1;TARJETA_DEBITO;0;0
323;152171;08-02-2023;13-02-2023;4;TARJETA_CREDITO;0;0
324;184525;08-02-2023;13-02-2023;5;TARJETA_CREDITO;0;0
325;100661;08-02-2023;10-02-2023;5;TARJETA_DEBITO;0;0
326;27369;08-02-2023;13-02-2023;2;TARJETA_CREDITO;0;0
327;85343;08-02-2023;10-02-2023;3;TARJETA_CREDITO;0;0
328;817431;08-02-2023;10-02-2023;2;TARJETA_DEBITO;0;8
329;228087;08-02-2023;09-02-2023;4;TARJETA_CREDITO;0;8
330;7850552;08-02-2023;09-02-2023;50;TARJETA_CREDITO;1;4
331;167691;09-02-2023;13-02-2023;5;TARJETA_CREDITO;0;0
332;48811;09-02-2023;10-02-2023;2;TARJETA_DEBITO;0;0
333;113200;09-02-2023;15-02-2023;3;TARJETA_CREDITO;0;0
334;107398;09-02-2023;15-02-2023;2;TARJETA_CREDITO;0;0
335;142279;09-02-2023;12-02-2023;3;TARJETA_DEBITO;0;0
336;710163;09-02-2023;15-02-2023;8;TARJETA_CREDITO;0;7
337;446511;09-02-2023;13-02-2023;5;TARJETA_CREDITO;0;7
338;637141;09-02-2023;11-02-2023;8;TARJETA_DEBITO;1;9
339;695741;09-02-2023;12-02-2023;9;TARJETA_CREDITO;1;0
340;109063;10-02-2023;11-02-2023;5;TARJETA_CREDITO;0;0
341;19335;10-02-2023;14-02-2023;5;TARJETA_CREDITO;0;0
342;94111;10-02-2023;15-02-2023;4;TARJETA_CREDITO;0;0
343;110842;10-02-2023;11-02-2023;4;TARJETA_CREDITO;0;0
344;155272;10-02-2023;14-02-2023;4;TARJETA_DEBITO;0;0
345;173645;10-02-2023;15-02-2023;1;TARJETA_CREDITO;0;0
346;596445;10-02-2023;16-02-2023;1;TARJETA_CREDITO;0;6
347;359183;10-02-2023;11-02-2023;2;TARJETA_CREDITO;0;3
348;187454;10-02-2023;12-02-2023;8;TARJETA_CREDITO;0;5
349;68865;11-02-2023;13-02-2023;3;TARJETA_DEBITO;0;0
350;67913;11-02-2023;13-02-2023;4;TARJETA_DEBITO;0;0
351;122756;11-02-2023;12-02-2023;1;TARJETA_CREDITO;0;0
352;195128;11-02-2023;15-02-2023;2;TARJETA_DEBITO;0;0
353;174713;11-02-2023;13-02-2023;1;TARJETA_CREDITO;0;0
354;253749;11-02-2023;17-02-2023;2;TARJETA_CREDITO;0;9
355;506100;11-02-2023;15-02-2023;3;TARJETA_CREDITO;0;1
356;348435;11-02-2023;15-02-2023;3;TARJETA_CREDITO;1;7
357;33441;12-02-2023;13-02-2023;1;TARJETA_CREDITO;0;0
358;88798;12-02-2023;16-02-2023;1;TARJETA_CREDITO;0;0
359;132395;12-02-2023;16-02-2023;2;TARJETA_DEBITO;0;0
360;40583;12-02-2023;17-02-2023;2;TARJETA_CREDITO;0;0
361;11485;12-02-2023;15-02-2023;5;TARJETA_CREDITO;0;0
362;125412;12-02-2023;15-02-2023;5;TARJETA_CREDITO;0;0
363;55211;12-02-2023;18-02-2023;2;TARJETA_CREDITO;0;0
364;642056;12-02-2023;13-02-2023;6;TARJETA_CREDITO;0;10
365;264868;12-02-2023;17-02-2023;2;TARJETA_CREDITO;0;4
366;2641916;12-02-2023;13-02-2023;84;TARJETA_CREDITO;1;7
367;133967;13-02-2023;14-02-2023;2;TARJETA_CREDITO;0;0
368;94110;13-02-2023;14-02-2023;2;TARJETA_CREDITO;0;0
369;59308;13-02-2023;15-02-2023;4;TARJETA_CREDITO;0;0
370;51609;13-02-2023;18-02-2023;1;TARJETA_CREDITO;0;0
371;61043;13-02-2023;17-02-2023;1;TARJETA_CREDITO;0;0
372;95982;13-02-2023;19-02-2023;1;TARJETA_DEBITO;0;0
